flow_duration,total_fwd_packets,total_backward_packets,flow_bytes/s,flow_packets/s,fwd_packet_length_mean,bwd_packet_length_mean,flow_iat_mean,fwd_iat_mean,bwd_iat_mean,syn_flag_count,ack_flag_count,fin_flag_count,rst_flag_count,psh_flag_count,packet_length_mean,packet_length_std,fwd_packets/s,bwd_packets/s,init_fwd_win_bytes,init_bwd_win_bytes,active_mean,idle_mean,down/up_ratio,avg_packet_size,attack_cat,label
9e-06,2.0,0.0,6.933333e+07,111111.11,78.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Analysis,1
1.244202,28.0,0.0,18749.367,21.700657,108.0,0.0,46.081554,0.0,57.72729,0.0,0.0,0.0,0.0,0.0,3024.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Fuzzers,1
0.209133,10.0,6.0,17519.951,71.72469,51.0,45.0,21.766333,32.622803,1139.1871,0.046011,0.020578,0.066589,0.0,0.0,508.0,268.0,0.0,0.0,255.0,255.0,12.0,12.0,1.0,0.0,Fuzzers,1
0.197552,10.0,6.0,27658.541,75.929375,76.0,45.0,20.485666,33.139397,1041.3964,0.031846,0.029133,0.060979,0.0,0.0,758.0,268.0,0.0,0.0,255.0,255.0,12.0,12.0,1.0,0.0,Fuzzers,1
0.483004,10.0,8.0,8447.135,35.196396,57.0,44.0,53.66711,58.820854,3414.7402,0.057477,0.059909,0.117386,0.0,0.0,566.0,354.0,0.0,0.0,255.0,255.0,10.0,9.0,1.0,0.0,Fuzzers,1
0.523646,10.0,6.0,9273.44,28.645306,67.0,45.0,56.548668,91.0556,3256.641,0.06836,0.018662,0.087022,0.0,0.0,674.0,268.0,0.0,0.0,255.0,255.0,7.0,7.0,0.0,0.0,Fuzzers,1
0.681871,20.0,8.0,192446.95,39.59693,863.0,44.0,33.94242,88.76143,2745.4426,0.060533,0.11909,0.179623,0.0,0.0,17266.0,354.0,0.0,0.0,255.0,255.0,7.0,6.0,0.0,0.0,Fuzzers,1
0.566928,10.0,6.0,6223.012,26.458385,49.0,45.0,61.171223,91.168205,3197.2053,0.111084,0.076579,0.187663,0.0,0.0,490.0,268.0,0.0,0.0,255.0,255.0,7.0,6.0,0.0,0.0,Fuzzers,1
0.833854,10.0,8.0,6380.0137,20.387262,74.0,44.0,88.89311,107.523,4899.931,0.081185,0.120763,0.201948,0.0,0.0,738.0,354.0,0.0,0.0,255.0,255.0,3.0,3.0,0.0,0.0,Fuzzers,1
0.766293,10.0,6.0,14156.465,19.574759,151.0,45.0,77.807335,141.4552,4551.3853,0.059008,0.038638,0.097646,0.0,0.0,1506.0,268.0,0.0,0.0,255.0,255.0,3.0,3.0,0.0,0.0,Fuzzers,1
0.451172,10.0,6.0,7819.6343,33.246742,49.0,45.0,50.120556,72.898605,2478.6025,0.086672,0.05509,0.141762,0.0,0.0,490.0,268.0,0.0,0.0,255.0,255.0,3.0,3.0,0.0,0.0,Fuzzers,1
0.694908,10.0,8.0,5664.059,24.463669,55.0,44.0,74.593666,91.03071,5456.468,0.057685,0.05198,0.109665,0.0,0.0,546.0,354.0,0.0,0.0,255.0,255.0,9.0,6.0,0.0,0.0,Fuzzers,1
0.534477,10.0,8.0,7364.2085,31.806795,55.0,44.0,57.001667,69.69486,3730.5994,0.046605,0.059913,0.106518,0.0,0.0,546.0,354.0,0.0,0.0,255.0,255.0,7.0,7.0,0.0,0.0,Fuzzers,1
0.322297,10.0,6.0,12212.338,46.54092,55.0,45.0,32.686443,56.4912,1747.0442,0.039832,0.050586,0.090418,0.0,0.0,546.0,268.0,0.0,0.0,255.0,255.0,7.0,7.0,0.0,0.0,Fuzzers,1
0.537852,10.0,8.0,6485.0557,31.607208,48.0,44.0,58.29233,67.18529,3929.7827,0.067548,0.054287,0.121835,0.0,0.0,484.0,354.0,0.0,0.0,255.0,255.0,5.0,4.0,0.0,0.0,Fuzzers,1
0.379788,10.0,6.0,24540.006,39.495716,129.0,45.0,40.469444,65.5118,2035.3856,0.052219,0.048182,0.100401,0.0,0.0,1294.0,268.0,0.0,0.0,255.0,255.0,5.0,5.0,0.0,0.0,Fuzzers,1
0.588943,10.0,6.0,25211.268,25.469358,206.0,45.0,61.491,101.815,3474.0056,0.079865,0.090558,0.170423,0.0,0.0,2062.0,268.0,0.0,0.0,255.0,255.0,5.0,5.0,0.0,0.0,Fuzzers,1
0.596682,12.0,6.0,45210.01,28.490887,307.0,45.0,51.066273,94.171394,2996.4417,0.125815,0.107666,0.233481,0.0,0.0,3678.0,268.0,0.0,0.0,255.0,255.0,5.0,5.0,0.0,0.0,Fuzzers,1
