flow_duration,total_fwd_packets,total_backward_packets,flow_bytes/s,flow_packets/s,fwd_packet_length_mean,bwd_packet_length_mean,flow_iat_mean,fwd_iat_mean,bwd_iat_mean,syn_flag_count,ack_flag_count,fin_flag_count,rst_flag_count,psh_flag_count,packet_length_mean,packet_length_std,fwd_packets/s,bwd_packets/s,init_fwd_win_bytes,init_bwd_win_bytes,active_mean,idle_mean,down/up_ratio,avg_packet_size,mutation_label,mutation_strategy,bypass_detector,attack_cat
-0.4444,-0.191,0.0086,-0.15091011,-0.1587,-0.3007,2.8039644,-0.2952,-0.2893,-0.1985,-0.189,-0.5906,-0.1742,0.0,1.518298,3.1209,2.3266587,-0.1349,-0.2049,0.1157,-0.2021,-0.1621,-0.3716,1.946,3.3423755,1,rl_single,0,CICIDS_attack
-0.4636,-0.2564,-0.179,-0.1755,-0.1582,0.24447408,-0.11216658,-0.49621165,-0.2894,-0.2144,-0.189,-0.5906,-0.1742,0.0,-0.5381771,-0.4004,-0.4422,-0.1347,-0.2044,-0.4444,-0.2296,-0.1621,-1.0684962,0.4088,-0.3808,1,rl_single,1,CICIDS_attack
-0.3182,-0.191,-0.2259,0.16575375,-0.1588,-0.3463,-0.3422696,0.0684,-0.0286,-0.2144,-0.189,-0.5906,-0.1742,0.0,1.3297697,-0.6211,-1.4031415,-0.135,-0.2053,1.5934,3.2324,-0.1621,-0.3716,-1.1284,-0.057571888,1,rl_single,1,CICIDS_attack
-0.3051,-0.191,-0.2259,0.023312777,-0.1588,-0.3463,-0.40314865,0.1024,-0.0055,-0.2144,-0.189,-0.5906,-0.1742,0.0,1.203622,-0.6211,-1.1207628,-0.135,-0.2053,1.5934,3.2324,-0.1621,-0.3716,-1.1284,-0.069291234,1,rl_single,1,CICIDS_attack
-0.4636,-0.2564,-0.179,-0.1755,-0.1582,0.003094986,-0.2265374,-0.3095,-0.2894,-0.2144,-0.189,-0.5906,-0.1742,0.0,-0.5689,-0.4004,-0.7000693,-0.1347,-0.2044,-0.4444,-0.2296,-0.1621,-0.3716,0.4088,-0.3808,1,rl_single,1,CICIDS_attack
-0.4636,-0.2564,-0.179,-0.1621742,-0.1582,0.0045900196,-0.23645248,-0.3095,-0.2894,-0.2144,-0.189,-0.5906,-0.1742,0.0,-0.5689,-0.4004,-0.5746456,-0.1347,-0.2044,-0.4444,-0.2296,-0.1621,-0.8278693,0.4088,-0.3808,1,rl_single,1,CICIDS_attack
-0.4636,-0.2564,-0.179,-0.1755,-0.1582,0.17861173,-0.3918,-0.5872725,-0.2894,-0.2144,-0.189,-0.5906,-0.1742,0.0,-0.5689,-0.4004,-0.7159292,-0.1347,0.24590689,-0.4444,-0.2296,-0.1621,-0.62212324,0.4088,-0.3808,1,rl_single,1,CICIDS_attack
-0.4636,-0.2564,-0.179,-0.1755,-0.1582,0.13211259,-0.115917444,-0.52029824,-0.2894,-0.2144,-0.189,-0.5906,-0.1742,0.0,-0.5689,-0.4004,-0.5227743,-0.1347,-0.2044,-0.4444,-0.2296,-0.43265277,-0.3716,0.4088,-0.3808,1,rl_single,1,CICIDS_attack
-0.4482,-0.191,-0.0383,-0.31035882,-0.1587,-0.3007,3.566693,-0.2965,-0.2893,-0.1981,-0.189,-0.5906,-0.1742,0.0,1.3977039,3.5366,3.1459434,-0.1349,-0.2049,0.1157,-0.2021,-0.1621,-0.3716,0.4088,4.101342,1,rl_single,0,CICIDS_attack
-0.3711,-0.1256,-0.2728,-0.1771,-0.1588,-0.23635541,-0.04492128,-0.7321564,-0.178,-0.2144,-0.189,1.6933,-0.1742,0.0,-0.5689,-0.6018,-1.0445387,-0.135,-0.2053,-0.4425,-0.2296,-0.1621,-0.3716,-1.1284,-0.67928994,1,rl_single,1,CICIDS_attack
